Sample ID;Root path Registration;Path GPFS SRCT;Histo ID;Root path Powerfolder;Powerfolder file 1;Powerfolder file 2;Additional Note
28R;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003288/processed/syn134_28R_PEEK_8w/tiff02;17025;D:\PowerFolders\Synchroload MgBone\Histologies;Peek_8w_17025-0001_28R.tif;Peek_8w_17025-0002_28R.tif;reco/float_rawBin2?
22L;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003773/processed/syn111_22L_Ti_8w/reco/float_rawBin2;17024;D:\PowerFolders\Synchroload MgBone\Histologies;Ti_8w_17024-0001_22L.tif;;
99R;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003440/processed/syn32_99R_Mg10Gd_4w/reco/float_rawBin2;17032;D:\PowerFolders\Synchroload MgBone\Histologies;Mg-10Gd_4w_17032-0001_99R.tif;Mg-10Gd_4w_17032-0002_99R.tif;
34R_17026;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003773/processed/syn115_34R_Ti_8w/reco/float_rawBin3;17026;D:\PowerFolders\Synchroload MgBone\Histologies;Ti_8w_17026-0001_34R.tif;Ti_8w_17026-0002_34R.tif;
80L;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003440/processed/syn49_80L_Mg5Gd_8w/reco/float_rawBin2;17030;D:\PowerFolders\Synchroload MgBone\Histologies;Mg-5Gd_8w_17030-0001_80L.tif;Mg-5Gd_8w_17030-0002_80L.tif;
48L;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003950/processed/syn14_48L_PEEK_12w_b/reco/float_binned;17029;D:\PowerFolders\Synchroload MgBone\Histologies;Peek_12w_17029-0001_48L.tif;;reco/?
100L;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003440/processed/syn47_100AL_Mg5Gd_4w/reco/float_rawBin2;17033;D:\PowerFolders\Synchroload MgBone\Histologies;Mg-5Gd_4w_17033-0001_100L.tif;Mg-5Gd_4w_17033-0002_100L.tif;
39R;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003773/processed/syn116_39R_Ti_12w/reco/float_rawBin3;17027;D:\PowerFolders\Synchroload MgBone\Histologies;Ti_12w_17027-0001_39R.tif;Ti_12w_17027-0002_39R.tif;
7R? 7L?;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003773/processed/syn121_7L_Ti_4w/reco/float_rawBin3;17022;D:\PowerFolders\Synchroload MgBone\Histologies;Ti_4w_17022-0008_7L.tif;Ti_4w_17022-0009_7L.tif;
42L;/asap3/petra3/gpfs/p03/2018/data/11005218/processed/Histology_Comparison_Registration/MgBone/;/asap3/petra3/gpfs/p05/2017/data/11003773/processed/syn113_42L_Ti_12w/reco/float_rawBin3;17028;D:\PowerFolders\Synchroload MgBone\Histologies;Ti_12w_17028-0001_42L.tif;Ti_12w_17028-0002_42L.tif;
